iter	Passed	Remaining
0	177	177163
1	178	89015
2	179	59544
3	180	44823
4	180	35982
5	181	30082
6	182	25866
7	183	22699
8	183	20226
9	184	18253
10	185	16711
11	187	15398
12	187	14257
13	188	13271
14	189	12419
15	189	11673
16	190	11015
17	191	10432
18	191	9906
19	192	9436
20	193	9009
21	193	8620
22	194	8267
23	195	7944
24	196	7650
25	196	7374
26	197	7120
27	198	6885
28	199	6663
29	200	6474
30	200	6280
31	201	6106
32	202	5934
33	203	5769
34	203	5615
35	204	5471
36	205	5338
37	205	5209
38	206	5086
39	207	4971
40	207	4863
41	208	4757
42	209	4656
43	209	4560
44	210	4468
45	211	4380
46	211	4295
47	212	4215
48	213	4137
49	214	4075
50	215	4006
51	215	3937
52	216	3871
53	217	3806
54	217	3742
55	218	3681
56	218	3622
57	219	3564
58	219	3508
59	220	3456
60	221	3405
61	221	3354
62	222	3306
63	222	3258
64	223	3213
65	223	3168
66	224	3124
67	224	3082
68	225	3041
69	225	3001
70	226	2963
71	227	2928
72	227	2892
73	228	2857
74	228	2824
75	229	2794
76	230	2763
77	231	2732
78	231	2701
79	232	2671
80	232	2641
81	233	2613
82	233	2582
83	234	2555
84	235	2530
85	235	2504
86	236	2478
87	236	2453
88	237	2428
89	237	2405
90	238	2381
91	238	2358
92	239	2336
93	240	2313
94	240	2292
95	241	2270
96	241	2250
97	242	2230
98	242	2209
99	243	2190
100	243	2171
101	244	2154
102	245	2138
103	246	2121
104	246	2104
105	247	2087
106	248	2071
107	248	2054
108	249	2039
109	250	2023
110	250	2008
111	251	1992
112	251	1977
113	252	1961
114	253	1947
115	253	1931
116	253	1916
117	254	1902
118	255	1888
119	255	1874
120	256	1861
121	256	1847
122	257	1833
123	257	1820
124	258	1808
125	259	1799
126	260	1789
127	261	1781
128	262	1770
129	262	1758
130	263	1747
131	263	1735
132	264	1724
133	265	1713
134	265	1703
135	266	1693
136	267	1682
137	267	1671
138	268	1661
139	268	1650
140	269	1640
141	269	1629
142	270	1619
143	270	1609
144	271	1599
145	271	1590
146	272	1580
147	273	1571
148	273	1564
149	274	1557
150	275	1549
151	276	1541
152	276	1532
153	277	1524
154	278	1515
155	278	1507
156	279	1498
157	279	1490
158	280	1482
159	280	1474
160	281	1465
161	281	1457
162	282	1449
163	282	1441
164	283	1433
165	283	1426
166	284	1418
167	284	1410
168	285	1403
169	285	1396
170	286	1389
171	287	1382
172	287	1375
173	288	1371
174	289	1364
175	290	1358
176	290	1352
177	291	1345
178	291	1339
179	292	1332
180	293	1325
181	293	1319
182	293	1312
183	294	1306
184	295	1300
185	295	1293
186	296	1287
187	296	1281
188	297	1275
189	297	1270
190	298	1264
191	299	1258
192	299	1253
193	300	1247
194	301	1243
195	301	1237
196	302	1232
197	302	1226
198	303	1222
199	304	1219
200	305	1215
201	306	1210
202	307	1205
203	307	1200
204	308	1195
205	308	1190
206	309	1185
207	310	1181
208	310	1176
209	311	1171
210	311	1166
211	312	1161
212	313	1156
213	313	1152
214	314	1147
215	314	1142
216	315	1138
217	316	1133
218	316	1128
219	317	1124
220	317	1119
221	318	1116
222	319	1112
223	320	1108
224	320	1104
225	321	1100
226	321	1096
227	322	1092
228	323	1088
229	323	1083
230	324	1079
231	324	1075
232	325	1071
233	326	1067
234	326	1062
235	327	1058
236	327	1054
237	328	1050
238	328	1046
239	329	1042
240	329	1038
241	330	1035
242	330	1030
243	331	1027
244	332	1023
245	332	1020
246	333	1017
247	334	1013
248	335	1010
249	336	1008
250	336	1005
251	337	1002
252	338	998
253	338	995
254	339	992
255	340	988
256	340	985
257	341	981
258	341	978
259	342	974
260	343	971
261	343	967
262	344	964
263	344	961
264	345	957
265	345	954
266	346	950
267	346	947
268	347	944
269	348	942
270	349	940
271	350	937
272	351	935
273	351	932
274	352	929
275	352	925
276	353	922
277	354	919
278	354	917
279	355	914
280	356	911
281	356	908
282	357	904
283	357	901
284	358	898
285	358	896
286	359	892
287	359	889
288	360	887
289	361	884
290	361	881
291	362	879
292	363	877
293	364	875
294	365	872
295	365	869
296	366	866
297	366	864
298	367	862
299	368	859
300	369	857
301	370	856
302	371	853
303	371	851
304	372	849
305	373	846
306	374	844
307	374	841
308	375	839
309	376	836
310	376	834
311	377	833
312	378	831
313	379	829
314	380	827
315	381	825
316	382	823
317	382	821
318	383	818
319	384	816
320	384	813
321	385	811
322	386	809
323	386	807
324	387	804
325	388	802
326	388	800
327	389	797
328	390	795
329	391	794
330	392	793
331	393	791
332	394	790
333	395	788
334	396	786
335	396	784
336	397	782
337	398	780
338	399	778
339	399	776
340	400	773
341	401	771
342	401	769
343	403	768
344	403	766
345	404	764
346	405	762
347	405	760
348	406	758
349	407	756
350	408	755
351	409	753
352	409	751
353	411	750
354	411	748
355	412	746
356	413	744
357	414	743
358	415	741
359	416	740
360	417	739
361	418	737
362	418	735
363	419	733
364	420	731
365	421	730
366	422	728
367	423	726
368	423	724
369	424	722
370	425	720
371	426	719
372	426	717
373	427	715
